Factory Name,Location,Industry Types,Production Capacity,Byproduct Type,Byproduct Quantity,Byproduct Frequency,Required Byproduct,Utilization Method,Demand Scale,Frequency of Use
Factory_131,"USA, California",Pharmaceuticals,519,Bio-waste,328,Daily,Heat Energy,Raw Material,High,Weekly
Factory_129,"India, Mumbai",Textiles,4143,Plastic Waste,958,Weekly,Silicon,Raw Material,High,Daily
Factory_131,"India, Mumbai",Chemicals,6835,Slag,890,Monthly,Recycled Plastic,Raw Material,High,Monthly
Factory_460,"UK, London",Plastics,663,Heat,795,Daily,Recycled Plastic,Energy Source,Medium,Monthly
Factory_472,"USA, California",Plastics,7272,Bio-waste,175,Weekly,Bio-fuel,Recycling,Medium,Monthly
Factory_157,"South Africa, Johannesburg",Food Processing,1269,Slag,862,Weekly,Recycled Plastic,Raw Material,High,Daily
Factory_212,"Brazil, Sao Paulo",Automotive,9385,Waste Chemicals,333,Monthly,Steel,Recycling,Medium,Weekly
Factory_15,"UK, London",Electronics,1881,Slag,720,Daily,Organic Material,Energy Source,Low,Weekly
Factory_424,"Germany, Berlin",Metals,8630,Heat,635,Daily,Organic Material,Recycling,Low,Monthly
Factory_468,"Germany, Berlin",Pharmaceuticals,9485,Bio-waste,51,Monthly,Organic Material,Raw Material,Low,Weekly
Factory_2,"Germany, Berlin",Plastics,6010,Bio-waste,81,Daily,Organic Material,Raw Material,High,Monthly
Factory_153,"Brazil, Sao Paulo",Pharmaceuticals,652,Bio-waste,647,Daily,Steel,Energy Source,High,Monthly
Factory_313,"UK, London",Automotive,2876,Metal Scraps,612,Weekly,Bio-fuel,Energy Source,High,Monthly
Factory_97,"UK, London",Food Processing,2972,Slag,162,Monthly,Recycled Plastic,Energy Source,Medium,Daily
Factory_353,"Brazil, Sao Paulo",Chemicals,6462,Waste Chemicals,82,Daily,Silicon,Raw Material,Medium,Daily
Factory_115,"China, Shenzhen",Automotive,9634,Bio-waste,99,Monthly,Steel,Composting,High,Weekly
Factory_342,"UK, London",Textiles,5619,Metal Scraps,363,Monthly,Heat Energy,Energy Source,High,Monthly
Factory_388,"Japan, Tokyo",Automotive,6563,Bio-waste,503,Monthly,Recycled Plastic,Composting,Low,Weekly
Factory_224,"USA, California",Food Processing,432,Heat,56,Monthly,Steel,Composting,Medium,Monthly
Factory_347,"Brazil, Sao Paulo",Food Processing,5471,Slag,431,Monthly,Recycled Plastic,Energy Source,High,Monthly
Factory_491,"India, Mumbai",Textiles,9458,Bio-waste,589,Monthly,Organic Material,Raw Material,Medium,Weekly
Factory_353,"Germany, Berlin",Automotive,8279,Metal Scraps,473,Daily,Bio-fuel,Composting,High,Weekly
Factory_449,"Brazil, Sao Paulo",Plastics,5100,Slag,597,Daily,Bio-fuel,Recycling,Medium,Daily
Factory_107,"UK, London",Metals,2551,Slag,194,Monthly,Heat Energy,Energy Source,Low,Monthly
Factory_476,"Brazil, Sao Paulo",Electronics,3829,Plastic Waste,474,Monthly,Heat Energy,Composting,Low,Daily
Factory_466,"Germany, Berlin",Metals,3984,Plastic Waste,573,Daily,Organic Material,Recycling,High,Weekly
Factory_2,"USA, California",Plastics,105,Heat,866,Monthly,Organic Material,Raw Material,High,Monthly
Factory_416,"Brazil, Sao Paulo",Plastics,2162,Bio-waste,720,Daily,Organic Material,Composting,High,Daily
Factory_453,"Brazil, Sao Paulo",Pharmaceuticals,494,Bio-waste,480,Daily,Steel,Recycling,Low,Monthly
Factory_202,"Japan, Tokyo",Electronics,2757,Heat,153,Daily,Heat Energy,Composting,High,Weekly
Factory_197,"Germany, Berlin",Metals,3712,Heat,715,Weekly,Steel,Raw Material,Medium,Monthly
Factory_299,"China, Shenzhen",Pharmaceuticals,2233,Slag,126,Daily,Steel,Energy Source,Medium,Weekly
Factory_166,"USA, California",Food Processing,6137,Bio-waste,1000,Monthly,Organic Material,Raw Material,High,Monthly
Factory_57,"Japan, Tokyo",Plastics,8924,Waste Chemicals,518,Monthly,Bio-fuel,Recycling,Low,Weekly
Factory_334,"China, Shenzhen",Plastics,1844,Bio-waste,444,Daily,Heat Energy,Composting,High,Monthly
Factory_61,"India, Mumbai",Pharmaceuticals,4216,Metal Scraps,458,Daily,Recycled Plastic,Raw Material,Low,Weekly
Factory_425,"India, Mumbai",Chemicals,6284,Plastic Waste,191,Weekly,Silicon,Energy Source,Low,Monthly
Factory_407,"UK, London",Metals,7937,Heat,339,Daily,Bio-fuel,Raw Material,Low,Monthly
Factory_254,"Germany, Berlin",Electronics,5852,Bio-waste,91,Daily,Recycled Plastic,Composting,High,Monthly
Factory_177,"Germany, Berlin",Chemicals,8677,Slag,811,Weekly,Organic Material,Recycling,Low,Monthly
Factory_332,"Brazil, Sao Paulo",Chemicals,6933,Waste Chemicals,303,Daily,Silicon,Composting,Low,Daily
Factory_372,"Germany, Berlin",Food Processing,2347,Heat,388,Monthly,Steel,Raw Material,Medium,Weekly
Factory_406,"India, Mumbai",Chemicals,5093,Bio-waste,487,Weekly,Recycled Plastic,Energy Source,Medium,Monthly
Factory_266,"UK, London",Textiles,4096,Slag,788,Daily,Bio-fuel,Composting,Medium,Weekly
Factory_331,"UK, London",Pharmaceuticals,2772,Slag,942,Weekly,Heat Energy,Raw Material,Low,Weekly
Factory_322,"Brazil, Sao Paulo",Plastics,8368,Waste Chemicals,341,Daily,Steel,Composting,Medium,Daily
Factory_129,"South Africa, Johannesburg",Plastics,2254,Waste Chemicals,442,Weekly,Silicon,Energy Source,Low,Weekly
Factory_90,"UK, London",Electronics,6001,Metal Scraps,860,Monthly,Steel,Raw Material,Medium,Daily
Factory_6,"Japan, Tokyo",Automotive,1728,Bio-waste,847,Daily,Recycled Plastic,Energy Source,Medium,Daily
Factory_124,"Japan, Tokyo",Chemicals,6236,Heat,12,Weekly,Bio-fuel,Recycling,Medium,Daily
Factory_239,"UK, London",Food Processing,7730,Slag,647,Weekly,Recycled Plastic,Energy Source,High,Daily
Factory_161,"South Africa, Johannesburg",Food Processing,9828,Heat,431,Monthly,Steel,Recycling,High,Daily
Factory_261,"USA, California",Chemicals,4750,Metal Scraps,370,Weekly,Heat Energy,Recycling,Low,Daily
Factory_283,"China, Shenzhen",Pharmaceuticals,5757,Plastic Waste,304,Daily,Bio-fuel,Energy Source,Low,Weekly
Factory_190,"UK, London",Plastics,1366,Waste Chemicals,769,Daily,Heat Energy,Recycling,Low,Monthly
Factory_129,"Germany, Berlin",Food Processing,9634,Metal Scraps,621,Daily,Recycled Plastic,Energy Source,Low,Monthly
Factory_300,"China, Shenzhen",Chemicals,7535,Heat,142,Weekly,Silicon,Recycling,Medium,Monthly
Factory_490,"India, Mumbai",Metals,637,Bio-waste,654,Weekly,Bio-fuel,Energy Source,High,Weekly
Factory_310,"Germany, Berlin",Pharmaceuticals,3320,Metal Scraps,636,Daily,Heat Energy,Composting,High,Monthly
Factory_290,"UK, London",Food Processing,284,Slag,764,Daily,Bio-fuel,Energy Source,High,Monthly
Factory_160,"Brazil, Sao Paulo",Chemicals,2127,Waste Chemicals,542,Weekly,Bio-fuel,Recycling,Low,Monthly
Factory_308,"India, Mumbai",Chemicals,5289,Waste Chemicals,460,Weekly,Silicon,Recycling,Medium,Monthly
Factory_276,"Japan, Tokyo",Chemicals,6643,Bio-waste,851,Weekly,Recycled Plastic,Composting,Low,Monthly
Factory_254,"Japan, Tokyo",Automotive,9709,Plastic Waste,448,Monthly,Heat Energy,Composting,Medium,Weekly
Factory_446,"China, Shenzhen",Pharmaceuticals,9884,Heat,483,Monthly,Steel,Recycling,High,Monthly
Factory_310,"UK, London",Food Processing,1052,Heat,78,Daily,Steel,Recycling,Low,Monthly
Factory_361,"Germany, Berlin",Food Processing,265,Metal Scraps,112,Monthly,Silicon,Recycling,High,Monthly
Factory_57,"Japan, Tokyo",Automotive,4825,Waste Chemicals,265,Weekly,Recycled Plastic,Raw Material,Medium,Monthly
Factory_188,"China, Shenzhen",Pharmaceuticals,7839,Waste Chemicals,874,Daily,Bio-fuel,Raw Material,High,Monthly
Factory_464,"India, Mumbai",Electronics,4010,Slag,436,Monthly,Recycled Plastic,Recycling,Medium,Daily
Factory_311,"Japan, Tokyo",Electronics,3826,Metal Scraps,334,Monthly,Bio-fuel,Composting,Low,Monthly
Factory_177,"UK, London",Chemicals,8506,Slag,570,Monthly,Steel,Energy Source,Medium,Weekly
Factory_493,"USA, California",Metals,4472,Slag,786,Monthly,Heat Energy,Composting,Medium,Weekly
Factory_301,"Japan, Tokyo",Automotive,3744,Bio-waste,864,Daily,Heat Energy,Composting,Low,Daily
Factory_433,"Brazil, Sao Paulo",Electronics,9970,Waste Chemicals,484,Monthly,Heat Energy,Energy Source,Medium,Weekly
Factory_467,"Germany, Berlin",Plastics,6073,Bio-waste,467,Daily,Recycled Plastic,Recycling,High,Daily
Factory_238,"South Africa, Johannesburg",Pharmaceuticals,7577,Slag,335,Monthly,Bio-fuel,Energy Source,High,Monthly
Factory_409,"China, Shenzhen",Electronics,8118,Waste Chemicals,127,Weekly,Recycled Plastic,Composting,Medium,Monthly
Factory_159,"Germany, Berlin",Automotive,1655,Heat,466,Daily,Organic Material,Composting,Medium,Monthly
Factory_332,"South Africa, Johannesburg",Textiles,1812,Heat,99,Monthly,Heat Energy,Composting,Medium,Daily
Factory_42,"USA, California",Chemicals,2314,Heat,569,Weekly,Heat Energy,Recycling,High,Daily
Factory_177,"UK, London",Chemicals,2065,Waste Chemicals,189,Monthly,Recycled Plastic,Composting,High,Daily
Factory_247,"China, Shenzhen",Automotive,9193,Heat,150,Monthly,Silicon,Energy Source,High,Daily
Factory_54,"USA, California",Textiles,9984,Plastic Waste,714,Monthly,Recycled Plastic,Raw Material,Medium,Monthly
Factory_268,"India, Mumbai",Plastics,5267,Heat,302,Weekly,Steel,Raw Material,High,Monthly
Factory_237,"India, Mumbai",Chemicals,583,Bio-waste,415,Daily,Organic Material,Composting,Low,Weekly
Factory_137,"South Africa, Johannesburg",Plastics,5198,Plastic Waste,658,Daily,Recycled Plastic,Composting,Medium,Monthly
Factory_86,"UK, London",Chemicals,329,Waste Chemicals,838,Weekly,Bio-fuel,Recycling,Low,Monthly
Factory_244,"Germany, Berlin",Plastics,7785,Bio-waste,741,Monthly,Steel,Composting,Low,Daily
Factory_189,"UK, London",Metals,3513,Waste Chemicals,194,Weekly,Organic Material,Raw Material,Low,Daily
Factory_312,"Brazil, Sao Paulo",Chemicals,125,Slag,852,Daily,Organic Material,Recycling,Low,Monthly
Factory_295,"India, Mumbai",Textiles,4008,Slag,23,Daily,Silicon,Raw Material,High,Monthly
Factory_357,"China, Shenzhen",Pharmaceuticals,9622,Slag,998,Weekly,Silicon,Raw Material,High,Monthly
Factory_208,"China, Shenzhen",Plastics,1712,Metal Scraps,31,Weekly,Bio-fuel,Composting,Medium,Weekly
Factory_82,"Japan, Tokyo",Automotive,8082,Slag,267,Monthly,Heat Energy,Recycling,High,Weekly
Factory_82,"India, Mumbai",Electronics,9596,Plastic Waste,380,Daily,Steel,Raw Material,Low,Monthly
Factory_473,"USA, California",Food Processing,5210,Plastic Waste,648,Monthly,Steel,Energy Source,Low,Monthly
Factory_402,"Japan, Tokyo",Textiles,5980,Slag,685,Monthly,Heat Energy,Energy Source,High,Weekly
Factory_106,"Brazil, Sao Paulo",Automotive,2555,Slag,557,Weekly,Bio-fuel,Composting,Low,Monthly
Factory_431,"India, Mumbai",Textiles,3305,Heat,279,Weekly,Silicon,Recycling,High,Weekly
Factory_340,"USA, California",Metals,9324,Heat,896,Weekly,Organic Material,Composting,Low,Weekly
Factory_184,"Germany, Berlin",Automotive,2965,Waste Chemicals,62,Daily,Recycled Plastic,Composting,Low,Daily
Factory_198,"China, Shenzhen",Electronics,6844,Plastic Waste,390,Monthly,Bio-fuel,Energy Source,Low,Weekly
Factory_372,"Japan, Tokyo",Food Processing,4106,Metal Scraps,827,Monthly,Bio-fuel,Raw Material,High,Weekly
Factory_324,"UK, London",Food Processing,3374,Metal Scraps,473,Daily,Recycled Plastic,Recycling,Medium,Monthly
Factory_239,"Germany, Berlin",Electronics,6023,Waste Chemicals,512,Weekly,Recycled Plastic,Composting,High,Monthly
Factory_310,"Germany, Berlin",Electronics,7293,Heat,879,Daily,Organic Material,Raw Material,High,Weekly
Factory_195,"Brazil, Sao Paulo",Automotive,2731,Heat,556,Monthly,Recycled Plastic,Recycling,Medium,Daily
Factory_472,"India, Mumbai",Food Processing,6210,Waste Chemicals,697,Daily,Heat Energy,Energy Source,Medium,Monthly
Factory_386,"UK, London",Textiles,4884,Heat,980,Monthly,Steel,Energy Source,Medium,Monthly
Factory_177,"Brazil, Sao Paulo",Chemicals,7542,Heat,769,Daily,Heat Energy,Composting,Low,Monthly
Factory_227,"China, Shenzhen",Chemicals,3504,Plastic Waste,882,Monthly,Bio-fuel,Recycling,Low,Daily
Factory_37,"Japan, Tokyo",Plastics,9390,Metal Scraps,812,Monthly,Bio-fuel,Energy Source,Medium,Weekly
Factory_459,"China, Shenzhen",Plastics,5558,Bio-waste,418,Daily,Silicon,Energy Source,Medium,Weekly
Factory_256,"Brazil, Sao Paulo",Pharmaceuticals,8277,Heat,857,Weekly,Recycled Plastic,Recycling,Medium,Monthly
Factory_418,"Brazil, Sao Paulo",Electronics,3085,Metal Scraps,327,Weekly,Recycled Plastic,Energy Source,Medium,Daily
Factory_449,"India, Mumbai",Pharmaceuticals,5092,Bio-waste,69,Weekly,Steel,Energy Source,Medium,Weekly
Factory_393,"Brazil, Sao Paulo",Chemicals,7080,Metal Scraps,232,Daily,Organic Material,Raw Material,High,Monthly
Factory_381,"India, Mumbai",Metals,866,Bio-waste,825,Weekly,Silicon,Energy Source,Medium,Weekly
Factory_77,"India, Mumbai",Metals,3643,Metal Scraps,606,Weekly,Silicon,Composting,Medium,Daily
Factory_204,"India, Mumbai",Metals,396,Metal Scraps,611,Daily,Bio-fuel,Composting,Low,Monthly
Factory_229,"South Africa, Johannesburg",Food Processing,1676,Slag,55,Daily,Bio-fuel,Composting,Low,Weekly
Factory_290,"Japan, Tokyo",Pharmaceuticals,5240,Waste Chemicals,64,Monthly,Heat Energy,Energy Source,Medium,Daily
Factory_292,"UK, London",Electronics,1580,Metal Scraps,847,Weekly,Silicon,Energy Source,Low,Monthly
Factory_314,"China, Shenzhen",Food Processing,7563,Plastic Waste,981,Weekly,Steel,Energy Source,High,Monthly
Factory_209,"India, Mumbai",Chemicals,2652,Plastic Waste,801,Daily,Steel,Raw Material,Low,Daily
Factory_437,"China, Shenzhen",Chemicals,3694,Waste Chemicals,670,Weekly,Steel,Energy Source,High,Weekly
Factory_495,"India, Mumbai",Electronics,3121,Bio-waste,233,Daily,Heat Energy,Composting,Medium,Weekly
Factory_343,"Germany, Berlin",Textiles,3538,Bio-waste,908,Daily,Silicon,Energy Source,High,Daily
Factory_22,"UK, London",Electronics,5868,Metal Scraps,103,Weekly,Organic Material,Composting,Low,Weekly
Factory_428,"China, Shenzhen",Metals,3122,Plastic Waste,746,Weekly,Bio-fuel,Composting,Medium,Weekly
Factory_359,"India, Mumbai",Electronics,1390,Waste Chemicals,841,Weekly,Organic Material,Raw Material,Low,Daily
Factory_52,"USA, California",Chemicals,8371,Plastic Waste,215,Weekly,Steel,Energy Source,Low,Weekly
Factory_374,"UK, London",Pharmaceuticals,2584,Waste Chemicals,177,Monthly,Recycled Plastic,Composting,Medium,Daily
Factory_378,"China, Shenzhen",Electronics,1946,Metal Scraps,112,Daily,Organic Material,Recycling,Medium,Monthly
Factory_190,"South Africa, Johannesburg",Automotive,3605,Metal Scraps,110,Weekly,Steel,Recycling,Low,Monthly
Factory_286,"Japan, Tokyo",Pharmaceuticals,5539,Metal Scraps,183,Daily,Bio-fuel,Recycling,Medium,Daily
Factory_35,"China, Shenzhen",Textiles,9408,Waste Chemicals,12,Daily,Recycled Plastic,Composting,Medium,Weekly
Factory_401,"Brazil, Sao Paulo",Automotive,1568,Slag,866,Monthly,Recycled Plastic,Raw Material,High,Monthly
Factory_59,"Germany, Berlin",Plastics,5689,Plastic Waste,267,Weekly,Bio-fuel,Energy Source,Medium,Weekly
Factory_145,"South Africa, Johannesburg",Electronics,3923,Metal Scraps,932,Weekly,Steel,Recycling,Low,Weekly
Factory_320,"UK, London",Chemicals,5385,Metal Scraps,903,Monthly,Steel,Recycling,Medium,Weekly
Factory_438,"Germany, Berlin",Food Processing,476,Bio-waste,520,Daily,Steel,Recycling,Medium,Weekly
Factory_157,"South Africa, Johannesburg",Textiles,6337,Slag,608,Weekly,Organic Material,Energy Source,High,Monthly
Factory_198,"China, Shenzhen",Automotive,8618,Metal Scraps,129,Monthly,Silicon,Composting,Medium,Monthly
Factory_73,"South Africa, Johannesburg",Chemicals,6987,Plastic Waste,568,Monthly,Organic Material,Recycling,Medium,Monthly
Factory_396,"Japan, Tokyo",Textiles,8645,Bio-waste,32,Monthly,Bio-fuel,Composting,Medium,Monthly
Factory_169,"USA, California",Textiles,6345,Waste Chemicals,524,Daily,Bio-fuel,Raw Material,Low,Daily
Factory_252,"India, Mumbai",Food Processing,8562,Waste Chemicals,550,Weekly,Recycled Plastic,Recycling,Medium,Daily
Factory_342,"India, Mumbai",Electronics,205,Plastic Waste,664,Daily,Steel,Energy Source,Low,Weekly
Factory_313,"Japan, Tokyo",Chemicals,5126,Plastic Waste,708,Daily,Heat Energy,Recycling,Medium,Weekly
Factory_197,"China, Shenzhen",Textiles,9101,Bio-waste,193,Monthly,Bio-fuel,Recycling,Medium,Daily
Factory_91,"Japan, Tokyo",Textiles,4940,Metal Scraps,722,Weekly,Bio-fuel,Energy Source,Medium,Monthly
Factory_162,"India, Mumbai",Textiles,5296,Slag,888,Monthly,Recycled Plastic,Energy Source,Medium,Monthly
Factory_450,"India, Mumbai",Electronics,161,Waste Chemicals,62,Monthly,Heat Energy,Raw Material,Low,Weekly
Factory_365,"Germany, Berlin",Automotive,4742,Metal Scraps,277,Monthly,Heat Energy,Composting,Low,Weekly
Factory_267,"Japan, Tokyo",Food Processing,9293,Waste Chemicals,779,Weekly,Recycled Plastic,Energy Source,Low,Weekly
Factory_121,"South Africa, Johannesburg",Food Processing,927,Waste Chemicals,816,Monthly,Organic Material,Composting,Medium,Monthly
Factory_352,"USA, California",Food Processing,9394,Bio-waste,56,Weekly,Recycled Plastic,Recycling,High,Monthly
Factory_117,"Germany, Berlin",Metals,9195,Plastic Waste,871,Daily,Heat Energy,Raw Material,Low,Daily
Factory_114,"China, Shenzhen",Chemicals,7821,Waste Chemicals,55,Daily,Organic Material,Raw Material,Medium,Daily
Factory_463,"China, Shenzhen",Plastics,2978,Bio-waste,469,Weekly,Heat Energy,Energy Source,High,Weekly
Factory_109,"UK, London",Electronics,2395,Waste Chemicals,320,Monthly,Bio-fuel,Energy Source,High,Monthly
Factory_321,"USA, California",Food Processing,159,Waste Chemicals,835,Monthly,Silicon,Composting,Medium,Daily
Factory_208,"Germany, Berlin",Electronics,692,Bio-waste,629,Monthly,Silicon,Recycling,High,Daily
Factory_293,"South Africa, Johannesburg",Electronics,455,Plastic Waste,384,Weekly,Recycled Plastic,Energy Source,Low,Weekly
Factory_226,"South Africa, Johannesburg",Food Processing,1233,Waste Chemicals,266,Weekly,Recycled Plastic,Recycling,High,Daily
Factory_4,"Germany, Berlin",Metals,9350,Metal Scraps,718,Monthly,Bio-fuel,Recycling,Low,Monthly
Factory_19,"China, Shenzhen",Food Processing,9621,Heat,910,Daily,Steel,Composting,Medium,Weekly
Factory_139,"India, Mumbai",Pharmaceuticals,1243,Slag,992,Monthly,Heat Energy,Composting,Medium,Daily
Factory_329,"UK, London",Plastics,5586,Plastic Waste,989,Weekly,Silicon,Composting,Low,Daily
Factory_304,"India, Mumbai",Automotive,5785,Heat,74,Monthly,Organic Material,Raw Material,Low,Daily
Factory_374,"India, Mumbai",Chemicals,3491,Waste Chemicals,894,Monthly,Organic Material,Composting,Medium,Monthly
Factory_97,"USA, California",Metals,2268,Bio-waste,864,Monthly,Recycled Plastic,Composting,Medium,Weekly
Factory_374,"China, Shenzhen",Metals,6446,Metal Scraps,69,Daily,Silicon,Raw Material,Low,Monthly
Factory_349,"China, Shenzhen",Textiles,1568,Waste Chemicals,56,Monthly,Silicon,Energy Source,Low,Monthly
Factory_21,"India, Mumbai",Automotive,4711,Waste Chemicals,259,Monthly,Bio-fuel,Composting,Low,Weekly
Factory_192,"Germany, Berlin",Food Processing,7066,Bio-waste,83,Daily,Silicon,Raw Material,Low,Daily
Factory_189,"India, Mumbai",Chemicals,699,Heat,326,Weekly,Bio-fuel,Energy Source,Medium,Daily
Factory_394,"USA, California",Textiles,3975,Waste Chemicals,549,Monthly,Organic Material,Recycling,Medium,Weekly
Factory_70,"USA, California",Plastics,102,Bio-waste,425,Monthly,Heat Energy,Energy Source,Low,Daily
Factory_276,"South Africa, Johannesburg",Food Processing,6614,Metal Scraps,390,Weekly,Silicon,Composting,Medium,Monthly
Factory_469,"UK, London",Metals,5776,Heat,264,Monthly,Heat Energy,Raw Material,Low,Daily
Factory_463,"Japan, Tokyo",Electronics,8387,Slag,412,Weekly,Bio-fuel,Composting,Low,Weekly
Factory_396,"India, Mumbai",Textiles,3099,Slag,211,Weekly,Recycled Plastic,Energy Source,Low,Monthly
Factory_103,"Brazil, Sao Paulo",Automotive,8134,Slag,847,Weekly,Steel,Raw Material,High,Weekly
Factory_22,"Brazil, Sao Paulo",Plastics,5043,Metal Scraps,912,Weekly,Recycled Plastic,Composting,High,Daily
Factory_277,"Germany, Berlin",Automotive,9094,Slag,236,Weekly,Bio-fuel,Composting,High,Monthly
Factory_55,"Germany, Berlin",Pharmaceuticals,268,Waste Chemicals,979,Weekly,Recycled Plastic,Raw Material,Medium,Daily
Factory_452,"Brazil, Sao Paulo",Food Processing,3315,Plastic Waste,473,Weekly,Steel,Composting,Medium,Monthly
Factory_288,"South Africa, Johannesburg",Chemicals,7240,Slag,441,Monthly,Silicon,Energy Source,Low,Weekly
Factory_361,"Germany, Berlin",Textiles,2550,Bio-waste,81,Daily,Heat Energy,Recycling,Low,Daily
Factory_353,"South Africa, Johannesburg",Textiles,1635,Waste Chemicals,604,Daily,Recycled Plastic,Composting,High,Monthly
Factory_311,"USA, California",Textiles,6412,Bio-waste,538,Weekly,Bio-fuel,Recycling,Low,Daily
Factory_10,"India, Mumbai",Plastics,4389,Slag,261,Weekly,Steel,Raw Material,Medium,Daily
Factory_450,"Brazil, Sao Paulo",Textiles,4900,Waste Chemicals,60,Weekly,Silicon,Raw Material,Low,Weekly
Factory_433,"India, Mumbai",Textiles,8245,Slag,276,Weekly,Bio-fuel,Raw Material,Medium,Monthly
Factory_26,"Japan, Tokyo",Automotive,4514,Slag,98,Weekly,Steel,Composting,Low,Daily
Factory_353,"Germany, Berlin",Pharmaceuticals,4418,Slag,459,Monthly,Steel,Raw Material,Low,Weekly
Factory_135,"Brazil, Sao Paulo",Textiles,6601,Bio-waste,768,Weekly,Steel,Energy Source,High,Daily
Factory_382,"Germany, Berlin",Electronics,2939,Metal Scraps,217,Weekly,Organic Material,Composting,Low,Monthly
Factory_352,"South Africa, Johannesburg",Food Processing,3530,Heat,605,Monthly,Organic Material,Raw Material,Medium,Daily
Factory_409,"China, Shenzhen",Plastics,5882,Slag,654,Monthly,Organic Material,Recycling,High,Weekly
